
# TURKISH_SERIES_DATABASE
# Format: ID | Series Name | Season | Episode | URL
# Encoding: UTF-8
------------------------------------------------------------------------------------------------------------------------------------------------------
(The actual content will be copied from FINAL_TURKISH_SERIES_CLEAN.txt by a script to ensure no data loss)
# סדרות מהרשימה האישית שלך בלבד
------------------------------------------------------------------------------------------------------------------------------------------------------
57     | איישה                          | 1 עונה          | פרק 1           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E01.mp4?v=r7f3a9c2#
58     | איישה                          | 1 עונה          | פרק 2           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E02.mp4?v=r7f3a9c2#
59     | איישה                          | 1 עונה          | פרק 3           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E03.mp4?v=r7f3a9c2#
60     | איישה                          | 1 עונה          | פרק 4           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E04.mp4?v=r7f3a9c2#
61     | איישה                          | 1 עונה          | פרק 5           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E05.mp4?v=r7f3a9c2#
62     | איישה                          | 1 עונה          | פרק 6           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E06.mp4?v=r7f3a9c2#
63     | איישה                          | 1 עונה          | פרק 7           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E07.mp4?v=r7f3a9c2#
64     | איישה                          | 1 עונה          | פרק 8           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E08.mp4?v=r7f3a9c2#
65     | איישה                          | 1 עונה          | פרק 9           | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E09.mp4?v=r7f3a9c2#
66     | איישה                          | 1 עונה          | פרק 10          | https://main2x2u.b-cdn.net/Turk/part1/Ayse.2026.איישה/Season01/Ayse.S01E10.mp4?v=r7f3a9c2#
78     | הארגון                         | 1 עונה          | פרק 1           | https://main2x2u.b-cdn.net/Turk/part1/Teskilat.2021.%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F/Season01/Teskilat.S01E01.mp4?v=r7f3a9c2#
